,Group,3S,3S+,MBM,Dtest
0,1 (86%),1.08,0.39,4.81,4.03
1,2 (9%),1.35,0.79,5.88,2.84
2,3 (3%),2.09,2.96,1.51,5.11
3,4 (1%),2.42,2.02,5.16,3.22
4,5 (1%),1.21,1.29,6.39,2.05
