,Group,3S,3S+,MBM,Dtest
0,1 (86%),5.06,2.83,15.73,8.57
1,2 (9%),2.61,1.53,16.02,7.41
2,3 (3%),2.4,4.72,16.21,12.3
3,4 (1%),3.11,3.09,20.04,9.05
4,5 (1%),7.93,8.06,18.3,10.24
