,Group,3S,3S+,MBM,Dtest
0,1 (86%),0.0,0.0,4.81,0.0
1,2 (9%),0.0,0.0,5.88,0.0
2,3 (3%),0.0,0.0,1.51,0.0
3,4 (1%),0.0,0.0,5.16,0.0
4,5 (1%),0.0,0.0,6.39,0.0
