,Group,3S,3S+,MBM,Dtest
0,1 (76%),4.12,18.58,26.55,21.03
1,2 (12%),3.53,11.32,28.33,23.67
2,3 (6%),15.59,4.01,27.23,17.7
3,4 (3%),20.08,11.64,44.76,17.54
4,5 (2%),7.87,3.64,29.18,20.45
5,6 (2%),1.01,2.02,39.6,18.18
