,Group,3S,3S+,MBM,Dtest
0,1 (76%),1.69,0.25,6.42,0.0
1,2 (12%),2.02,1.73,4.68,0.0
2,3 (6%),2.05,2.18,7.22,0.0
3,4 (3%),3.53,2.69,9.85,0.0
4,5 (2%),3.06,1.01,6.46,0.0
5,6 (2%),4.76,2.14,9.69,0.0
