,Group,3S,3S+,BLM,Dtest
0,1 (79%),0.15,0.13,0.33,0.0
1,2 (15%),0.63,0.6,1.82,0.0
2,3 (3%),0.48,0.47,3.33,0.0
3,4 (1%),0.53,0.51,0.0,0.0
4,5 (1%),0.78,0.78,0.0,0.0
