Group,Oracle,Synthetic,Augmented,Test
1 (86%),0.0,0.38,0.74,5.3
2 (9%),0.0,0.35,0.26,3.46
3 (3%),0.0,1.02,1.15,8.25
4 (1%),0.0,1.72,1.03,9.75
5 (1%),0.0,1.67,2.27,8.2
